model	checkpoint	correct_rank	competing_rank
a	0	21613	43686
a	50	5612	984
a	100	4165	1178
a	250	1185	281
a	500	125	356
a	1000	27	19
a	2500	2	3
a	5000	0	3
a	10000	0	1
a	25000	0	1
a	50000	0	1
a	75000	0	1
a	100000	0	1
a	150000	0	1
a	200000	0	1
a	250000	0	1
a	300000	1	0
a	350000	1	0
a	400000	1	0
b	0	23855	4424
b	50	3273	1788
b	100	5410	1207
b	250	2786	1046
b	500	358	755
b	1000	42	16
b	2500	4	3
b	5000	0	3
b	10000	0	4
b	25000	0	1
b	50000	0	1
b	75000	0	1
b	100000	0	1
b	150000	0	1
b	200000	0	2
b	250000	0	1
b	300000	0	1
b	350000	0	1
b	400000	0	1
c	0	7871	45737
c	50	6939	767
c	100	6512	1332
c	250	2293	849
c	500	385	757
c	1000	19	16
c	2500	3	1
c	5000	1	0
c	10000	0	1
c	25000	0	4
c	50000	0	2
c	75000	0	1
c	100000	0	1
c	150000	0	1
c	200000	1	0
c	250000	1	0
c	300000	1	0
c	350000	1	0
c	400000	1	0
d	0	43339	25618
d	50	3114	638
d	100	2867	1083
d	250	1218	523
d	500	42	130
d	1000	10	15
d	2500	3	5
d	5000	0	3
d	10000	2	7
d	25000	0	2
d	50000	0	1
d	75000	0	1
d	100000	0	1
d	150000	0	1
d	200000	0	1
d	250000	0	1
d	300000	0	1
d	350000	0	1
d	400000	0	1
e	0	8184	33949
e	50	7485	1888
e	100	5944	1067
e	250	1031	306
e	500	1014	631
e	1000	16	14
e	2500	4	3
e	5000	3	0
e	10000	0	1
e	25000	0	1
e	50000	0	1
e	75000	0	2
e	100000	0	1
e	150000	0	1
e	200000	0	2
e	250000	0	1
e	300000	0	1
e	350000	0	1
e	400000	0	1
